TIME,TEMP_INT,TEMP_REF,TEMP_EXT;
Mon Jan 24 01:59:03 2023,0.00,0.00,0.00
Mon Jan 24 01:59:07 2023,36.88,45.00,23.00
Mon Jan 24 01:59:12 2023,37.06,45.00,23.00
Mon Jan 24 01:59:17 2023,37.31,45.00,23.00
Mon Jan 24 01:59:22 2023,37.62,45.00,23.00
Mon Jan 24 01:59:27 2023,38.31,45.00,23.00
Mon Jan 24 01:59:32 2023,38.75,45.00,23.00
Mon Jan 24 01:59:37 2023,39.44,45.00,23.00
Mon Jan 24 01:59:42 2023,39.94,45.00,23.00
Mon Jan 24 01:59:47 2023,41.00,45.00,23.00
Mon Jan 24 01:59:52 2023,41.25,45.00,23.00
Mon Jan 24 01:59:57 2023,42.19,45.00,23.00
Mon Jan 24 02:00:02 2023,42.69,45.00,23.00
Mon Jan 24 02:00:07 2023,42.81,45.00,23.00
Mon Jan 24 02:00:12 2023,43.69,45.00,23.00
Mon Jan 24 02:00:17 2023,44.31,45.00,23.00
Mon Jan 24 02:00:22 2023,44.88,45.00,23.00
Mon Jan 24 02:00:27 2023,45.88,45.00,23.00
Mon Jan 24 02:00:32 2023,45.88,45.00,23.00
Mon Jan 24 02:00:37 2023,46.01,35.00,23.00
Mon Jan 24 02:00:42 2023,46.32,30.00,23.00
Mon Jan 24 02:00:47 2023,47.02,30.00,23.00